iter	Passed	Remaining
589	5938	4126
590	5945	4114
591	5961	4108
592	5970	4097
593	5978	4086
594	5990	4077
595	6004	4070
596	6025	4067
597	6037	4058
598	6049	4050
599	6057	4038
600	6068	4029
601	6080	4020
602	6091	4010
603	6104	4002
604	6119	3995
605	6134	3988
606	6149	3981
607	6158	3970
608	6167	3960
609	6182	3952
610	6193	3943
611	6203	3932
612	6218	3925
613	6226	3914
614	6241	3907
615	6251	3897
616	6259	3885
617	6271	3876
618	6287	3870
619	6302	3862
620	6310	3851
621	6319	3840
622	6330	3830
623	6339	3819
624	6347	3808
625	6358	3799
626	6367	3788
627	6383	3781
628	6401	3775
629	6414	3767
630	6428	3759
631	6441	3750
632	6449	3739
633	6460	3729
634	6472	3720
635	6481	3709
636	6496	3702
637	6509	3693
638	6526	3687
639	6539	3678
640	6548	3667
641	6558	3657
642	6570	3647
643	6578	3636
644	6589	3626
645	6600	3617
646	6609	3606
647	6619	3595
648	6628	3584
649	6636	3573
650	6648	3564
651	6655	3552
652	6668	3543
653	6681	3535
654	6693	3525
655	6703	3515
656	6714	3505
657	6723	3494
658	6732	3483
659	6744	3474
660	6752	3463
661	6761	3452
662	6776	3444
663	6784	3433
664	6793	3422
665	6807	3413
666	6815	3402
667	6822	3391
668	6834	3381
669	6842	3370
670	6854	3360
671	6867	3351
672	6878	3342
673	6887	3331
674	6899	3321
675	6906	3310
676	6915	3299
677	6923	3288
678	6937	3279
679	6948	3270
680	6956	3258
681	6966	3248
682	6977	3238
683	6985	3227
684	6994	3216
685	7003	3205
686	7011	3194
687	7024	3185
688	7032	3174
689	7043	3164
690	7057	3156
691	7071	3147
692	7080	3136
693	7090	3126
694	7102	3117
695	7111	3106
696	7121	3095
697	7133	3086
698	7141	3075
699	7155	3066
700	7166	3056
701	7176	3046
702	7184	3035
703	7194	3024
704	7201	3013
705	7213	3004
706	7223	2993
707	7233	2983
708	7249	2975
709	7260	2965
710	7269	2954
711	7279	2944
712	7291	2935
713	7299	2923
714	7356	2932
715	7408	2938
716	7422	2929
717	7460	2930
718	7475	2921
719	7486	2911
720	7507	2905
721	7518	2895
722	7540	2888
723	7551	2878
724	7559	2867
725	7581	2861
726	7593	2851
727	7606	2841
728	7618	2832
729	7637	2824
730	7649	2814
731	7658	2804
732	7667	2793
733	7679	2783
734	7687	2771
735	7697	2761
736	7712	2752
737	7720	2740
738	7733	2731
739	7747	2722
740	7759	2712
741	7767	2700
742	7779	2690
743	7786	2679
744	7796	2668
745	7807	2658
746	7813	2646
747	7826	2636
748	7834	2625
749	7843	2614
750	7853	2603
751	7862	2592
752	7871	2581
753	7877	2570
754	7889	2560
755	7897	2548
756	7905	2537
757	7914	2526
758	7924	2516
759	7935	2506
760	7941	2494
761	7951	2483
762	7957	2471
763	7967	2461
764	7973	2449
765	7983	2438
766	7989	2427
767	7999	2416
768	8015	2407
769	8022	2396
770	8038	2387
771	8048	2377
772	8055	2365
773	8063	2354
774	8075	2344
775	8085	2333
776	8097	2323
777	8106	2313
778	8117	2302
779	8128	2292
780	8134	2280
781	8143	2270
782	8149	2258
783	8156	2247
784	8162	2235
785	8171	2224
786	8177	2213
787	8188	2203
788	8194	2191
789	8208	2182
790	8220	2172
791	8226	2160
792	8238	2150
793	8244	2138
794	8251	2127
795	8258	2116
796	8273	2107
797	8288	2098
798	8301	2088
799	8307	2076
800	8316	2066
801	8322	2054
802	8331	2044
803	8337	2032
804	8344	2021
805	8349	2009
806	8356	1998
807	8365	1987
808	8371	1976
809	8384	1966
810	8401	1957
811	8412	1947
812	8419	1936
813	8431	1926
814	8437	1915
815	8443	1903
816	8449	1892
817	8456	1881
818	8466	1871
819	8474	1860
820	8480	1848
821	8496	1839
822	8507	1829
823	8512	1818
824	8523	1808
825	8529	1796
826	8540	1786
827	8545	1775
828	8556	1764
829	8561	1753
830	8576	1744
831	8592	1735
832	8606	1725
833	8621	1716
834	8628	1705
835	8636	1694
836	8646	1683
837	8667	1675
838	8673	1664
839	8687	1654
840	8697	1644
841	8703	1633
842	8713	1622
843	8719	1611
844	8728	1601
845	8734	1590
846	8742	1579
847	8751	1568
848	8763	1558
849	8769	1547
850	8784	1537
851	8793	1527
852	8799	1516
853	8811	1506
854	8817	1495
855	8823	1484
856	8829	1473
857	8840	1463
858	8847	1452
859	8859	1442
860	8865	1431
861	8880	1421
862	8889	1411
863	8895	1400
864	8906	1390
865	8915	1379
866	8922	1368
867	8927	1357
868	8936	1347
869	8943	1336
870	8952	1325
871	8961	1315
872	8977	1305
873	8990	1296
874	9000	1285
875	9007	1275
876	9014	1264
877	9020	1253
878	9028	1242
879	9048	1233
880	9053	1222
881	9069	1213
882	9081	1203
883	9087	1192
884	9099	1182
885	9104	1171
886	9113	1160
887	9118	1150
888	9129	1139
889	9135	1129
890	9148	1119
891	9165	1109
892	9175	1099
893	9181	1088
894	9190	1078
895	9196	1067
896	9203	1056
897	9209	1046
898	9215	1035
899	9226	1025
900	9232	1014
901	9244	1004
902	9259	994
903	9267	984
904	9275	973
905	9281	962
906	9293	952
907	9299	942
908	9306	931
909	9317	921
910	9328	911
911	9341	901
912	9357	891
913	9368	881
914	9380	871
915	9387	860
916	9398	850
917	9405	840
918	9416	829
919	9425	819
920	9433	809
921	9447	799
922	9452	788
923	9463	778
924	9471	767
925	9481	757
926	9489	747
927	9495	736
928	9503	726
929	9511	715
930	9521	705
931	9538	695
932	9545	685
933	9554	675
934	9561	664
935	9570	654
936	9575	643
937	9582	633
938	9588	622
939	9601	612
940	9607	602
941	9616	592
942	9625	581
943	9641	571
944	9654	561
945	9663	551
946	9671	541
947	9677	530
948	9683	520
949	9689	509
950	9700	499
951	9707	489
952	9718	479
953	9723	468
954	9742	459
955	9751	448
956	9761	438
957	9767	428
958	9777	418
959	9783	407
960	9793	397
961	9800	387
962	9812	377
963	9828	367
964	9833	356
965	9845	346
966	9859	336
967	9865	326
968	9872	315
969	9878	305
970	9886	295
971	9894	285
972	9906	274
973	9926	264
974	9933	254
975	9939	244
976	9947	234
977	9955	223
978	9960	213
979	9969	203
980	9974	193
981	9988	183
982	10005	173
983	10021	162
984	10031	152
985	10037	142
986	10047	132
987	10052	122
988	10059	111
989	10065	101
990	10071	91
991	10080	81
992	10087	71
993	10097	60
994	10105	50
995	10116	40
996	10126	30
997	10131	20
998	10144	10
999	10150	0
